SR CREATE DATE,call_year,call_month,call_day,weatherflag,call_count
2018-09-25,2018,9,25,0,1499
2018-09-26,2018,9,26,0,1396
2018-09-27,2018,9,27,0,1156
2018-09-28,2018,9,28,0,1230
2018-09-29,2018,9,29,0,435
2018-09-30,2018,9,30,0,308
2018-10-01,2018,10,1,0,1423
2018-10-02,2018,10,2,0,1418
2018-10-03,2018,10,3,0,1283
2018-10-04,2018,10,4,0,1316
2018-10-05,2018,10,5,0,1242
2018-10-06,2018,10,6,0,502
2018-10-07,2018,10,7,0,312
2018-10-08,2018,10,8,0,1659
2018-10-09,2018,10,9,0,1537
2018-10-10,2018,10,10,0,1206
2018-10-11,2018,10,11,0,1248
2018-10-12,2018,10,12,0,1117
2018-10-13,2018,10,13,0,478
2018-10-14,2018,10,14,0,498
2018-10-15,2018,10,15,0,1361
2018-10-16,2018,10,16,0,1388
2018-10-17,2018,10,17,0,1184
2018-10-18,2018,10,18,0,1263
2018-10-19,2018,10,19,0,1299
2018-10-20,2018,10,20,0,520
2018-10-21,2018,10,21,0,377
2018-10-22,2018,10,22,0,1326
2018-10-23,2018,10,23,0,1160
2018-10-24,2018,10,24,0,1243
2018-10-25,2018,10,25,0,1250
2018-10-26,2018,10,26,0,1394
2018-10-27,2018,10,27,0,574
2018-10-28,2018,10,28,0,331
2018-10-29,2018,10,29,0,1565
2018-10-30,2018,10,30,0,1556
2018-10-31,2018,10,31,1,1348
2018-11-01,2018,11,1,0,1718
2018-11-02,2018,11,2,0,1489
2018-11-03,2018,11,3,0,480
2018-11-04,2018,11,4,0,299
2018-11-05,2018,11,5,0,1433
2018-11-06,2018,11,6,0,1770
2018-11-07,2018,11,7,0,1433
2018-11-08,2018,11,8,0,1236
2018-11-09,2018,11,9,0,1234
2018-11-10,2018,11,10,0,439
2018-11-11,2018,11,11,0,299
2018-11-12,2018,11,12,0,828
2018-11-13,2018,11,13,0,976
2018-11-14,2018,11,14,0,1224
2018-11-15,2018,11,15,0,1428
2018-11-16,2018,11,16,0,1365
2018-11-17,2018,11,17,0,572
2018-11-18,2018,11,18,0,295
2018-11-19,2018,11,19,0,1347
2018-11-20,2018,11,20,0,1342
2018-11-21,2018,11,21,0,896
2018-11-22,2018,11,22,0,223
2018-11-23,2018,11,23,0,577
2018-11-24,2018,11,24,0,482
2018-11-25,2018,11,25,0,335
2018-11-26,2018,11,26,0,1441
2018-11-27,2018,11,27,0,1284
2018-11-28,2018,11,28,0,1328
2018-11-29,2018,11,29,0,1214
2018-11-30,2018,11,30,0,1212
2018-12-01,2018,12,1,0,431
2018-12-02,2018,12,2,0,313
2018-12-03,2018,12,3,0,1221
2018-12-04,2018,12,4,0,1487
2018-12-05,2018,12,5,0,1415
2018-12-06,2018,12,6,0,1251
2018-12-07,2018,12,7,1,1419
2018-12-08,2018,12,8,1,713
2018-12-09,2018,12,9,0,536
2018-12-10,2018,12,10,0,1401
2018-12-11,2018,12,11,0,1536
2018-12-12,2018,12,12,0,1373
2018-12-13,2018,12,13,0,1568
2018-12-14,2018,12,14,0,1506
2018-12-15,2018,12,15,0,550
2018-12-16,2018,12,16,0,329
2018-12-17,2018,12,17,0,1715
2018-12-18,2018,12,18,0,1914
2018-12-19,2018,12,19,0,1566
2018-12-20,2018,12,20,0,1370
2018-12-21,2018,12,21,0,1696
2018-12-22,2018,12,22,0,541
2018-12-23,2018,12,23,0,389
2018-12-24,2018,12,24,0,457
2018-12-25,2018,12,25,0,189
2018-12-26,2018,12,26,0,1050
2018-12-27,2018,12,27,1,1857
2018-12-28,2018,12,28,0,1541
2018-12-29,2018,12,29,0,673
2018-12-30,2018,12,30,0,581
2018-12-31,2018,12,31,0,1341
2019-01-01,2019,1,1,0,374
2019-01-02,2019,1,2,0,1358
2019-01-03,2019,1,3,0,1672
2019-01-04,2019,1,4,0,1358
2019-01-05,2019,1,5,0,453
2019-01-06,2019,1,6,0,461
2019-01-07,2019,1,7,0,2093
2019-01-08,2019,1,8,0,2057
2019-01-09,2019,1,9,0,1695
2019-01-10,2019,1,10,0,1723
2019-01-11,2019,1,11,0,1620
2019-01-12,2019,1,12,0,579
2019-01-13,2019,1,13,0,348
