SR CREATE DATE,SR TYPE,count_sr_type,rank_no,call_year,call_month,call_day
2017-05-16,Missed Recycling Pickup,90,3,2017,5,16
2017-05-17,Missed Recycling Pickup,80,1,2017,5,17
2017-05-17,Nuisance On Property,76,2,2017,5,17
2017-05-17,Container Problem,69,3,2017,5,17
2017-05-18,Missed Garbage Pickup,73,1,2017,5,18
2017-05-18,Container Problem,69,2,2017,5,18
2017-05-18,Nuisance On Property,66,3,2017,5,18
2017-05-19,Missed Garbage Pickup,89,1,2017,5,19
2017-05-19,Container Problem,85,2,2017,5,19
2017-05-19,Water Leak,56,3,2017,5,19
2017-05-20,Missed Garbage Pickup,37,1,2017,5,20
2017-05-20,Water Leak,36,2,2017,5,20
2017-05-20,Sewer Wastewater,33,3,2017,5,20
2017-05-21,Nuisance On Property,28,1,2017,5,21
2017-05-21,Water Leak,28,2,2017,5,21
2017-05-21,Traffic Signal Maintenance,23,3,2017,5,21
2017-05-22,Traffic Signal Maintenance,103,1,2017,5,22
2017-05-22,Container Problem,101,2,2017,5,22
2017-05-22,Street Hazard,87,3,2017,5,22
2017-05-23,Missed Garbage Pickup,117,1,2017,5,23
2017-05-23,Container Problem,86,2,2017,5,23
2017-05-23,Water Leak,69,3,2017,5,23
2017-05-24,Nuisance On Property,79,1,2017,5,24
2017-05-24,Traffic Signal Maintenance,68,2,2017,5,24
2017-05-24,Water Leak,61,3,2017,5,24
2017-05-25,Nuisance On Property,90,1,2017,5,25
2017-05-25,Container Problem,82,2,2017,5,25
2017-05-25,Water Leak,66,3,2017,5,25
2017-05-26,Missed Garbage Pickup,96,1,2017,5,26
2017-05-26,Water Leak,68,2,2017,5,26
2017-05-26,Container Problem,67,3,2017,5,26
2017-05-27,Water Leak,26,1,2017,5,27
2017-05-27,Sewer Wastewater,25,2,2017,5,27
2017-05-27,Parking Violation,23,3,2017,5,27
2017-05-28,Traffic Signal Maintenance,22,1,2017,5,28
2017-05-28,Sewer Wastewater,21,2,2017,5,28
2017-05-28,Water Leak,17,3,2017,5,28
2017-05-29,Traffic Signal Maintenance,47,1,2017,5,29
2017-05-29,Water Service,43,2,2017,5,29
2017-05-29,Water Leak,41,3,2017,5,29
2017-05-30,Container Problem,114,1,2017,5,30
2017-05-30,Nuisance On Property,91,2,2017,5,30
2017-05-30,Sewer Wastewater,75,3,2017,5,30
2017-05-31,Container Problem,95,1,2017,5,31
2017-05-31,Missed Garbage Pickup,77,2,2017,5,31
2017-05-31,Nuisance On Property,73,3,2017,5,31
2017-06-01,Missed Garbage Pickup,122,1,2017,6,1
2017-06-01,Container Problem,97,2,2017,6,1
2017-06-01,Traffic Signal Maintenance,66,3,2017,6,1
2017-06-02,Missed Garbage Pickup,109,1,2017,6,2
2017-06-02,Container Problem,80,2,2017,6,2
2017-06-02,Nuisance On Property,73,3,2017,6,2
2017-06-03,Sewer Wastewater,33,1,2017,6,3
2017-06-03,Heavy Trash Violation,29,2,2017,6,3
2017-06-03,Nuisance On Property,25,3,2017,6,3
2017-06-04,Street Hazard,72,1,2017,6,4
2017-06-04,Flooding,72,2,2017,6,4
2017-06-04,Traffic Signal Maintenance,58,3,2017,6,4
2017-06-05,Sewer Wastewater,104,1,2017,6,5
2017-06-05,Container Problem,98,2,2017,6,5
2017-06-05,Drainage,92,3,2017,6,5
2017-06-06,Container Problem,113,1,2017,6,6
2017-06-06,Missed Garbage Pickup,103,2,2017,6,6
2017-06-06,Nuisance On Property,85,3,2017,6,6
2017-06-07,Container Problem,76,1,2017,6,7
2017-06-07,Sewer Wastewater,68,2,2017,6,7
2017-06-07,Nuisance On Property,68,3,2017,6,7
2017-06-08,Container Problem,99,1,2017,6,8
2017-06-08,Nuisance On Property,97,2,2017,6,8
2017-06-08,Sewer Wastewater,63,3,2017,6,8
2017-06-09,Container Problem,86,1,2017,6,9
